college,cases,LAT,LON
Northern Kentucky University,39,39.029714,-84.463483
Owensboro Community and Technical College,10,37.717355,-87.082861
Paul Mitchell the School-Lexington,3,37.980361,-84.548281
Somerset Community College,18,37.059599,-84.617546
Southcentral Kentucky Community and Technical College,47,36.984827,-86.476717
Southeast Kentucky Community and Technical College,7,36.966051,-82.997661
Spalding University,6,38.242407,-85.757725
Sullivan University,7,38.212824,-85.670489
The Southern Baptist Theological Seminary,1,38.248216,-85.687649
Thomas More University,73,39.022963,-84.568923
Transylvania University,82,38.052983,-84.493202
Union College,47,36.870875,-83.888477
University of Kentucky,2264,38.038911,-84.504747
University of Louisville,715,38.216862,-85.760412
University of Pikeville,108,37.479232,-82.521063
University of the Cumberlands,82,36.737048,-84.161646
West Kentucky Community and Technical College,17,37.054081,-88.658762
Western Kentucky University,755,36.985035,-86.456828
Centenary College of Louisiana,37,32.483335,-93.730834
Grambling State University,33,32.523797,-92.713245
Louisiana College,,31.324528,-92.425973
Louisiana State University,1146,30.414986,-91.178921
Louisiana State University Alexandria,54,31.178616,-92.414409
"Louisiana State University Health Sciences Center, New Orleans",278,29.957272,-90.083145
"Louisiana State University Health Sciences Center, Shreveport",1,32.480683,-93.761018000000007
"Louisiana State University, Shreveport",25,32.428465,-93.70561
Louisiana Tech University,423,32.528297,-92.649963
Loyola University New Orleans,71,29.936141,-90.120417
McNeese State University,,30.178187,-93.217222
Nicholls State University,137,29.794486,-90.801571
Northwestern State University of Louisiana,288,31.750666,-93.097797
Southeastern Louisiana University,131,30.514652,-90.468676
Southern University Law Center,8,30.523898,-91.194417
Southern University and A&M College,118,30.524558,-91.190105
Southern University at New Orleans,15,30.026162,-90.044912
Tulane University of Louisiana,734,29.940069,-90.122144
University of Louisiana Monroe,163,32.527748,-92.07374
University of Louisiana at Lafayette,140,30.212191,-92.020165
University of New Orleans,47,30.027704,-90.067142
Bates College,5,44.105299,-70.203333
Bowdoin College,3,43.907134,-69.963942
Colby College,12,44.564211,-69.66337
Husson University,2,44.829002,-68.791476
Maine Maritime Academy,4,44.389654,-68.804347
Saint Joseph's College of Maine,11,43.826314000000004,-70.483373
Thomas College,0,44.524909,-69.664734
University of Maine,8,44.899257,-68.669332
University of Maine Farmington,1,44.666911,-70.147121
University of Maine at Augusta,2,44.337746,-69.796396
University of Maine at Fort Kent,2,47.250389,-68.589319
University of Maine at Machias,0,44.708803,-67.458025
University of Maine at Presque Isle,0,46.672285,-68.016343
University of New England,17,43.458591,-70.38535
University of Southern Maine,5,43.662863,-70.274247
College of the Marshall Islands,0,7.102688,171.378129
Bowie State University,46,39.018185,-76.759721
Coppin State University,8,39.311258,-76.658687
Frostburg State University,70,39.650918,-78.934293
Goucher College,0,39.410175,-76.594843
Hood College,20,39.420631,-77.419049
Johns Hopkins University,403,39.328977,-76.621595
Loyola University Maryland,,39.346358,-76.621872
McDaniel College,16,39.584231,-77.001992
Morgan State University,15,39.344161,-76.585565
Mount St. Mary's University,24,39.681705,-77.351887
Notre Dame of Maryland University,6,39.350612,-76.619739
Salisbury University,446,38.34648,-75.604815
St. Mary's College of Maryland,24,38.190904,-76.429097
Stevenson University,45,39.421988,-76.702092
Towson University,491,39.393622,-76.611164
United States Naval Academy,8,38.980507,-76.481692
University of Baltimore,,39.305834,-76.616591
